Item ID,Item No.,Item Barcode,Name,Category,Supplier,Cost (Vat),Price,Image,Date Stamp
f90a6aa5,9091530002  J,9091530002  J,กรองน้ำมันเครื่องTOYOTA-30002,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/9091530002  J.Image.061205.png,11/1/2564 14:07:00
3427e5df,90915TB001,90915TB001,กรองน้ำมันเครื่องคอนเนอร์TOYOTA-YZZD2,กรองน้ำมันเครื่อง,เจ๊จู,60,300,Item_Images/90915TB001.Image.061812.png,11/1/2564 15:21:00
021e22fa,90915TD003 G,90915TD003 G,กรองน้ำมันเครื่องTOYOTA-TD003,กรองน้ำมันเครื่อง,เจ๊จู,100,300,Item_Images/90915TD003 G.Image.061210.png,11/1/2564 14:03:00
a4937ce8,90915-TD004,90915-TD004,กรองน้ำมันเครื่องTOYOTA-TD004,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/90915-TD004.Image.061214.png,11/1/2564 14:04:00
b51e13b3,90915YZZC3,90915YZZC3,กรองน้ำมันเครื่องคอนเนอร์TOYOTA-YZZE1,กรองน้ำมันเครื่อง,เจ๊จู,65,300,Item_Images/90915YZZC3.Image.061827.png,11/1/2564 15:04:00
e4215cd9,90915YZZC5  6,90915YZZC5  6,กรองน้ำมันเครื่องTOYOTA-YZZE2,กรองน้ำมันเครื่อง,เจ๊จู,100,300,Item_Images/90915YZZC5  6.Image.061649.png,11/1/2564 14:42:00
6fcea19f,90915YZZD2  3,90915YZZD2  3,กรองน้ำมันเครื่องTOYOTA-YZZE1,กรองน้ำมันเครื่อง,เจ๊จู,65,300,Item_Images/90915YZZD2  3.Image.061645.png,12/1/2564 9:48:00
153bbc8a,90915YZZD2  4,90915YZZD2  4,กรองน้ำมันเครื่องTOYOTA-YZZD2,กรองน้ำมันเครื่อง,เจ๊จู,90,300,Item_Images/90915YZZD2  4.Image.061246.png,11/1/2564 14:08:00
4d41b122,93743595,93743595,กรองน้ำมันเครื่องเชฟโลเลต3595,กรองน้ำมันเครื่อง,เจ๊จู,128,300,Item_Images/93743595.Image.062039.png,11/1/2564 14:25:00
12610cf0,96335719,96335719,กรองน้ำมันเครื่องเชฟโลเลต5674,กรองน้ำมันเครื่อง,เจ๊จู,160,300,Item_Images/96335719.Image.062043.png,12/1/2564 9:45:00
f061713a,96879797,96879797,กรองน้ำมันเครื่องเชฟโลเลต79797,กรองน้ำมันเครื่อง,เจ๊จู,110,300,Item_Images/96879797.Image.062123.png,11/1/2564 14:27:00
2a5e3bd4,B6Y114302,B6Y114302,กรองน้ำมันเครื่องMazda-B6Y114302,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/B6Y114302.Image.061050.png,11/1/2564 14:18:00
4c53e088,BB3Q 6744BA,BB3Q 6744BA,กรองน้ำมันเครื่องFORD6744BA,กรองน้ำมันเครื่อง,เจ๊จู,120,300,Item_Images/BB3Q 6744BA.Image.060843.png,11/1/2564 14:32:00
0ace7b4b,GY0114302B,GY0114302B,กรองน้ำมันเครื่องMazda302B,กรองน้ำมันเครื่อง,เจ๊จู,80,300,Item_Images/GY0114302B.Image.061046.png,11/1/2564 14:12:00
b2adad97,LF1014302,LF1014302,กรองน้ำมันเครื่องMazda-LF1014302,กรองน้ำมันเครื่อง,เจ๊จู,88,300,Item_Images/LF1014302.Image.061055.png,11/1/2564 14:15:00
78179bb3,LPW100180,LPW100180,กรองน้ำมันเครื่อง MG1.8,กรองน้ำมันเครื่อง,เจ๊จู,64,300,Item_Images/LPW100180.Image.060819.png,11/1/2564 14:46:00
9db2a6ac,MD069782T,MD069782T,กรองน้ำมันเครื่องมิสซูบิชิ782T,กรองน้ำมันเครื่อง,เจ๊จู,130,300,Item_Images/MD069782T.Image.061908.png,11/1/2564 13:31:00
